,Year,County,Cases,Area_km,Perm_pop,Live-births,Infant_deaths,Children,Internal_immigration,Internal_emmigration,Dwellings,Street_taps,HH_water_net,HH_water_net_CY,HH_sewer_net,HH_electric_net,HH_gas_net,HH_dist_heat_net,HH_hot_water_net,HH_trash_serv,Num_general_pract,Num_pediatrican,GP_Nurses,Hospital_Beds,Gyno_ped_nurses,Pharmacies,Branch_pharmacies,Job_seekers,BACS_adjacent,BARANYA_adjacent,BEKES_adjacent,BORSOD_adjacent,BUDAPEST_adjacent,CSONGRAD_adjacent,FEJER_adjacent,GYOR_adjacent,HAJDU_adjacent,HEVES_adjacent,JASZ_adjacent,KOMAROM_adjacent,NOGRAD_adjacent,PEST_adjacent,SOMOGY_adjacent,SZABOLCS_adjacent,TOLNA_adjacent,VAS_adjacent,VESZPREM_adjacent,ZALA_adjacent
18,2013,BARANYA,2221,4429.59,392917.0,3084.0,15.0,53670.0,19395.0,20284.0,167322.0,898.0,161359.0,694.0,121370.0,204645.0,90303.0,40888.0,38105.0,0.0,214.0,64.0,248.0,3121.0,204.0,95.0,33.0,18012.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
19,2014,BARANYA,1134,4429.7,391310.0,3163.0,14.0,53436.0,20975.0,21737.0,167440.0,828.0,161634.0,337.0,123648.0,204649.0,89566.0,41176.0,38089.0,0.0,215.0,65.0,250.0,3094.0,210.0,95.0,33.0,18182.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
20,2005,BEKES,3544,5629.69,391579.0,3287.0,27.0,57958.0,14623.0,15706.0,166551.0,2323.0,149748.0,118.0,72541.0,187544.0,137500.0,692.0,542.0,149122.0,189.0,56.0,219.0,2803.0,190.5,91.0,18.0,21555.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
21,2006,BEKES,1191,5629.69,388176.0,3115.0,17.0,56160.0,16162.0,17959.0,166905.0,2316.0,151272.0,1710.0,76030.0,190502.0,138581.0,689.0,539.0,149407.0,193.0,55.0,214.0,2803.0,199.0,91.0,19.0,22213.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
22,2007,BEKES,2780,5629.69,384672.0,3039.0,14.0,54535.0,15721.0,18521.0,167239.0,2305.0,155702.0,873.0,79078.0,190472.0,139561.0,661.0,510.0,148444.0,188.0,56.0,210.0,2427.0,188.5,93.0,20.0,24567.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
23,2008,BEKES,1451,5629.68,381024.0,3066.0,21.0,53088.0,12112.0,14937.0,167622.0,2213.0,156218.0,817.0,80561.0,190014.0,140336.0,618.0,466.0,148646.0,190.0,56.0,211.0,2427.0,188.5,100.0,18.0,25326.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
24,2009,BEKES,1409,5629.68,377825.0,2978.0,19.0,51802.0,11690.0,14090.0,167795.0,1837.0,156466.0,442.0,87689.0,189239.0,141048.0,537.0,388.0,148266.0,194.0,55.0,214.0,2477.0,186.5,101.0,20.0,29506.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
25,2010,BEKES,901,5629.71,374448.0,2582.0,12.0,50341.0,11870.0,14035.0,167963.0,1781.0,158114.0,117.0,88563.0,188420.0,145235.0,516.0,367.0,148463.0,188.0,52.0,211.0,2479.0,185.0,100.0,24.0,29223.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
26,2011,BEKES,1477,5629.72,371217.0,2692.0,17.0,49075.0,14867.0,16418.0,166646.0,1774.0,157607.0,119.0,90000.0,187241.0,140945.0,488.0,337.0,146399.0,185.0,52.0,205.0,2479.0,185.0,94.0,25.0,26103.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
27,2012,BEKES,648,5629.72,368449.0,2724.0,6.0,48304.0,15171.0,16243.0,166702.0,1755.0,157558.0,103.0,96793.0,186778.0,135950.0,439.0,327.0,142619.0,184.0,52.0,207.0,2449.0,171.5,88.0,26.0,24994.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
28,2013,BEKES,864,5629.72,366002.0,2702.0,13.0,47633.0,14649.0,16011.0,166768.0,2009.0,157520.0,39.0,102137.0,187311.0,133100.0,403.0,360.0,0.0,176.0,53.0,206.0,2449.0,170.5,89.0,26.0,16906.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
29,2014,BEKES,827,5629.69,363085.0,2797.0,21.0,47071.0,15279.0,16840.0,166761.0,1787.0,155986.0,57.0,107878.0,186680.0,128260.0,151.0,0.0,0.0,176.0,54.0,225.0,2429.0,177.5,89.0,25.0,15556.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
30,2005,BORSOD,4027,7247.28,743541.0,7442.0,67.0,127859.0,33204.0,36587.0,283447.0,8647.0,247315.0,3182.0,167787.0,309822.0,198377.0,53011.0,48044.0,261923.0,362.0,104.0,499.0,5377.0,401.5,132.0,65.0,56918.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
31,2006,BORSOD,2173,7248.28,738163.0,7772.0,83.0,124840.0,34448.0,39538.0,284410.0,8553.0,249994.0,2853.0,174275.0,310726.0,202365.0,52945.0,47953.0,264926.0,350.0,101.0,494.0,5413.0,411.0,132.0,66.0,55692.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
32,2007,BORSOD,3715,7250.0,732022.0,7317.0,87.0,121763.0,35677.0,42308.0,285521.0,8418.0,251970.0,2744.0,180253.0,321753.0,204585.0,53026.0,48105.0,264213.0,357.0,101.0,474.0,5223.0,415.0,142.0,68.0,61138.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
33,2008,BORSOD,3015,7249.96,726507.0,7425.0,72.0,119540.0,26333.0,32959.0,286428.0,8222.0,252826.0,1969.0,186855.0,321999.0,206347.0,53133.0,48151.0,267550.0,360.0,102.0,479.0,5069.0,396.0,157.0,75.0,62534.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
34,2009,BORSOD,3086,7249.96,721056.0,7142.0,64.0,116809.0,25425.0,31200.0,287033.0,7648.0,252858.0,1427.0,189118.0,323827.0,211716.0,53260.0,48042.0,279683.0,352.0,101.0,474.0,5135.0,413.5,158.0,71.0,72584.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
35,2010,BORSOD,2001,7249.67,715562.0,6686.0,43.0,114240.0,25076.0,30119.0,287336.0,7432.0,250304.0,491.0,189037.0,321407.0,217240.0,53233.0,47945.0,281334.0,348.0,95.0,480.0,5151.0,405.0,159.0,70.0,69304.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
36,2011,BORSOD,3276,7247.36,710307.0,6551.0,58.0,111893.0,31696.0,35383.0,284153.0,7306.0,252217.0,782.0,190544.0,324641.0,205559.0,53311.0,47965.0,276753.0,347.0,94.0,466.0,5185.0,405.0,161.0,73.0,66918.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
37,2012,BORSOD,3205,7247.42,705273.0,6699.0,49.0,109951.0,32507.0,35921.0,284351.0,7259.0,252612.0,1735.0,199776.0,322981.0,204150.0,53367.0,48100.0,275752.0,346.0,92.0,471.0,4854.0,394.0,151.0,71.0,67102.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
38,2013,BORSOD,2575,7247.43,700482.0,6652.0,73.0,108440.0,30025.0,33918.0,284577.0,7125.0,253015.0,2278.0,202643.0,310836.0,197870.0,53509.0,47715.0,0.0,342.0,93.0,462.0,4865.0,390.0,150.0,69.0,48387.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
39,2014,BORSOD,2724,7246.88,695756.0,7131.0,42.0,107746.0,32940.0,37022.0,284632.0,6983.0,253973.0,1154.0,206264.0,310087.0,196024.0,53350.0,47559.0,0.0,332.0,91.0,468.0,4850.0,385.0,149.0,77.0,47169.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
40,2005,BUDAPEST,4562,525.1,1690109.0,15911.0,72.0,210704.0,53922.0,58372.0,856181.0,1899.0,839207.0,8160.0,819426.0,861624.0,733699.0,240958.0,227742.0,843733.0,979.0,342.0,994.0,22467.0,702.0,376.0,0.0,20599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,2006,BUDAPEST,6498,525.12,1684523.0,16830.0,86.0,209243.0,63537.0,65969.0,863330.0,1844.0,850748.0,10375.0,847068.0,887765.0,737975.0,241794.0,228352.0,855325.0,971.0,341.0,1006.0,22464.0,708.0,379.0,0.0,20831.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,2007,BUDAPEST,6311,525.12,1694005.0,16957.0,76.0,209512.0,73392.0,67501.0,872177.0,1651.0,860759.0,10760.0,852911.0,900481.0,743311.0,241179.0,227905.0,862467.0,949.0,338.0,965.0,19252.0,691.0,420.0,0.0,23292.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,2008,BUDAPEST,4441,525.13,1695023.0,17270.0,81.0,210417.0,54997.0,48365.0,881000.0,1474.0,872162.0,12026.0,852279.0,895923.0,746203.0,240699.0,227732.0,872177.0,959.0,339.0,985.0,18408.0,700.0,459.0,0.0,24997.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,2009,BUDAPEST,5527,525.13,1694942.0,17100.0,56.0,211881.0,55658.0,44977.0,889757.0,714.0,882509.0,11913.0,858082.0,925516.0,748283.0,237722.0,225323.0,877105.0,956.0,338.0,974.0,18498.0,719.0,452.0,0.0,41326.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,2010,BUDAPEST,5222,525.13,1694900.0,16458.0,62.0,214107.0,58274.0,43432.0,895400.0,714.0,890971.0,8462.0,864540.0,926163.0,757703.0,237824.0,225498.0,883100.0,962.0,334.0,985.0,18505.0,758.0,463.0,0.0,45603.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,2011,BUDAPEST,5404,525.09,1694426.0,16029.0,56.0,216110.0,64903.0,57554.0,905777.0,663.0,893869.0,2898.0,867504.0,927475.0,747287.0,237855.0,225557.0,895400.0,960.0,331.0,985.0,18578.0,719.0,432.0,0.0,42855.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,2012,BUDAPEST,5353,525.14,1694614.0,16507.0,48.0,219422.0,69226.0,61119.0,906782.0,658.0,896227.0,2358.0,869025.0,978515.0,748921.0,238224.0,225922.0,898087.0,952.0,326.0,974.0,18360.0,724.0,429.0,0.0,45619.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,2013,BUDAPEST,5157,525.14,1698406.0,16001.0,57.0,223060.0,65821.0,55456.0,908247.0,663.0,906782.0,0.0,870072.0,968078.0,755079.0,238198.0,225938.0,0.0,947.0,320.0,989.0,18441.0,710.0,410.0,0.0,36423.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,2014,BUDAPEST,4375,525.13,1704649.0,16048.0,60.0,226853.0,70907.0,60724.0,909962.0,673.0,908247.0,0.0,870898.0,971628.0,754551.0,238565.0,226370.0,0.0,937.0,318.0,1009.0,18358.0,715.0,436.0,0.0,32534.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,2005,CSONGRAD,1431,4262.82,426576.0,3931.0,38.0,63342.0,15323.0,15416.0,185810.0,921.0,167177.0,1782.0,100859.0,218526.0,160384.0,32718.0,31532.0,160651.0,226.0,71.0,244.0,3346.0,220.5,96.0,14.0,17384.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,2006,CSONGRAD,2703,4262.78,425823.0,3803.0,19.0,62085.0,18468.0,17810.0,186987.0,886.0,170684.0,3659.0,112970.0,220283.0,162010.0,32729.0,31542.0,165029.0,225.0,71.0,244.0,3377.0,220.0,96.0,16.0,15429.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,2007,CSONGRAD,1614,4262.77,425778.0,3883.0,20.0,61158.0,19392.0,18594.0,187979.0,820.0,172262.0,1555.0,119500.0,222433.0,163548.0,32752.0,31566.0,168078.0,220.0,71.0,241.0,3006.0,218.0,103.0,19.0,17132.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,2008,CSONGRAD,1222,4262.77,425632.0,3844.0,22.0,60194.0,15202.0,14667.0,189113.0,793.0,173473.0,1409.0,122337.0,223149.0,164772.0,32848.0,31662.0,171613.0,223.0,71.0,242.0,3014.0,223.0,119.0,18.0,18087.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,2009,CSONGRAD,2584,4262.77,424395.0,3611.0,15.0,59157.0,13946.0,13660.0,190460.0,817.0,174194.0,1447.0,123783.0,222966.0,166434.0,32847.0,31661.0,172835.0,220.0,70.0,240.0,3014.0,220.1,121.0,19.0,23078.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,2010,CSONGRAD,1119,4262.71,422746.0,3394.0,15.0,57936.0,13668.0,13556.0,191304.0,815.0,172302.0,1895.0,124544.0,223382.0,168424.0,32846.0,31660.0,172695.0,221.0,69.0,234.0,3014.0,266.0,122.0,19.0,22406.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,2011,CSONGRAD,1995,4262.71,421512.0,3356.0,21.0,57112.0,16733.0,16775.0,193414.0,790.0,172636.0,497.0,122577.0,222050.0,166948.0,32846.0,31660.0,171435.0,224.0,70.0,235.0,3014.0,213.0,120.0,19.0,20040.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,2012,CSONGRAD,1151,4262.71,420651.0,3383.0,16.0,56661.0,17872.0,18322.0,193961.0,787.0,176519.0,613.0,123892.0,221737.0,164467.0,32814.0,31628.0,165716.0,224.0,70.0,245.0,3020.0,210.58,115.0,17.0,21370.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
58,2013,CSONGRAD,1097,4262.7,419796.0,3320.0,11.0,56264.0,17202.0,17470.0,194224.0,667.0,177989.0,157.0,126582.0,223787.0,161687.0,32814.0,31628.0,0.0,225.0,69.0,244.0,3020.0,208.55,116.0,17.0,14293.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,2014,CSONGRAD,1521,4261.74,419149.0,3351.0,11.0,56103.0,17816.0,17940.0,194381.0,543.0,178118.0,127.0,137105.0,223602.0,157914.0,32813.0,31627.0,0.0,223.0,69.0,254.0,3020.0,211.5,116.0,17.0,13237.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,2005,FEJER,2468,4358.49,433945.0,4055.0,28.0,67373.0,20451.0,19887.0,165343.0,1856.0,159216.0,1199.0,105481.0,207918.0,143329.0,42778.0,32568.0,146137.0,199.0,65.0,250.0,2734.0,192.0,83.0,35.0,14179.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
61,2006,FEJER,1603,4358.48,433782.0,4178.0,24.0,65899.0,24322.0,23484.0,166509.0,981.0,160115.0,1495.0,108000.0,210190.0,145522.0,41681.0,32153.0,156640.0,200.0,64.0,242.0,2746.0,196.0,83.0,37.0,13261.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
62,2007,FEJER,1949,4358.46,434353.0,4078.0,32.0,64590.0,24911.0,24224.0,167322.0,902.0,161346.0,1537.0,113010.0,212823.0,147434.0,42080.0,32546.0,156716.0,201.0,64.0,241.0,2579.0,196.0,85.0,40.0,13337.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
63,2008,FEJER,2353,4358.46,434692.0,4109.0,19.0,63722.0,19524.0,19044.0,168358.0,889.0,162539.0,1554.0,115377.0,213690.0,147303.0,41746.0,32356.0,156884.0,200.0,64.0,238.0,2528.0,195.0,91.0,31.0,16529.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
64,2009,FEJER,1053,4358.46,433858.0,3937.0,22.0,62785.0,18155.0,18178.0,169249.0,782.0,163613.0,1339.0,119149.0,215153.0,146703.0,41808.0,32383.0,157408.0,196.0,62.0,242.0,2528.0,195.0,101.0,41.0,23448.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
65,2010,FEJER,1722,4358.45,432677.0,3762.0,13.0,61850.0,18666.0,18693.0,169812.0,766.0,164389.0,849.0,121515.0,214539.0,145004.0,41829.0,32370.0,157631.0,195.0,62.0,239.0,2579.0,200.0,99.0,42.0,23175.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
66,2011,FEJER,1789,4358.45,431759.0,3631.0,19.0,61259.0,22637.0,21949.0,174872.0,722.0,164477.0,398.0,122334.0,212285.0,141821.0,42260.0,32263.0,157714.0,195.0,60.0,239.0,2501.0,198.0,101.0,42.0,21146.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
67,2012,FEJER,2160,4358.45,431087.0,3741.0,19.0,61173.0,22136.0,22013.0,175167.0,732.0,165280.0,592.0,127331.0,213315.0,142198.0,41733.0,31749.0,157918.0,193.0,61.0,245.0,2343.0,194.0,102.0,39.0,21743.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
68,2013,FEJER,1039,4358.45,430136.0,3729.0,21.0,61049.0,21308.0,21561.0,175342.0,745.0,168915.0,757.0,133745.0,213651.0,143078.0,41688.0,31773.0,0.0,189.0,58.0,236.0,2514.0,203.0,95.0,39.0,14720.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
69,2014,FEJER,1232,4357.93,428866.0,3714.0,17.0,60926.0,23063.0,23540.0,175503.0,820.0,170229.0,546.0,137770.0,213765.0,141870.0,41608.0,31754.0,0.0,188.0,58.0,243.0,2316.0,196.0,94.0,38.0,13041.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
70,2005,GYOR,3524,4208.48,440628.0,4356.0,28.0,65188.0,19319.0,17893.0,175483.0,987.0,172484.0,3024.0,139435.0,207996.0,124418.0,34384.0,31264.0,167908.0,212.0,60.0,236.0,3415.0,216.0,84.0,53.0,9819.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
71,2006,GYOR,1977,4208.1,441711.0,4346.0,21.0,64718.0,22290.0,20993.0,176993.0,1007.0,174128.0,2014.0,143139.0,209929.0,128830.0,34466.0,31507.0,170037.0,214.0,60.0,234.0,3430.0,211.0,86.0,53.0,8199.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
72,2007,GYOR,2672,4208.25,443520.0,4186.0,20.0,64329.0,23951.0,21628.0,179189.0,1048.0,176223.0,2521.0,149260.0,212700.0,131578.0,34473.0,31518.0,171092.0,214.0,60.0,235.0,3196.0,213.0,92.0,53.0,8658.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
73,2008,GYOR,2453,4208.2,445264.0,4260.0,11.0,64155.0,19453.0,16423.0,180802.0,1034.0,177928.0,1897.0,152754.0,216152.0,134015.0,34426.0,31434.0,172379.0,211.0,60.0,235.0,3184.0,208.0,99.0,48.0,10260.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
74,2009,GYOR,1996,4208.2,446128.0,4227.0,21.0,63819.0,17605.0,15687.0,182403.0,1022.0,179601.0,1859.0,155450.0,216748.0,135659.0,34275.0,31221.0,172753.0,209.0,59.0,234.0,3184.0,209.0,106.0,47.0,14713.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
75,2010,GYOR,1863,4208.05,446329.0,3986.0,22.0,63315.0,17773.0,15796.0,183952.0,991.0,179056.0,1616.0,155401.0,217396.0,137573.0,34591.0,31148.0,175041.0,211.0,60.0,231.0,3202.0,211.0,110.0,50.0,13450.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
76,2011,GYOR,1737,4208.01,446930.0,3881.0,15.0,63232.0,22677.0,20081.0,188671.0,947.0,180369.0,1615.0,158691.0,216510.0,137388.0,34592.0,31146.0,174143.0,206.0,60.0,231.0,3202.0,211.0,109.0,50.0,10738.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
